query,competing_urls,impressions_W1,clicks_W1,top_url,top_url_market,top_url_locale,top_url_section,best_position,cannibalisation_type,markets_involved,locales_involved,url_detail
hausarzt,2,3,0,https://www.myglobalhealth.online/ireland/de,Ireland,de,market_home,19.0,cross_market+wrong_locale,Ireland|Portugal,de,https://www.myglobalhealth.online/ireland/de [2i/0c/p100] ;; https://www.myglobalhealth.online/portugal/de [1i/0c/p19]
global health insurance,2,3,0,https://www.myglobalhealth.online,,,legacy_or_global,7.5,no,Czechia,cs,https://www.myglobalhealth.online [2i/0c/p8] ;; https://www.myglobalhealth.online/czechia/cs [1i/0c/p8]
book an appointment online,2,3,0,https://www.myglobalhealth.online/romania/en,Romania,en,market_home,8.0,wrong_locale,Romania,en|ro,https://www.myglobalhealth.online/romania/en [2i/0c/p8] ;; https://www.myglobalhealth.online/romania/ro [1i/0c/p8]
imt atestado medico,2,3,0,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao,Portugal,pt,blog,23.0,no,Portugal,pt,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao [2i/0c/p23] ;; https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao [1i/0c/p49]
illness benefits ireland,2,3,0,https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-ireland-how-to-claim,Ireland,en,blog,10.5,no,Ireland,en,https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-ireland-how-to-claim [2i/0c/p10] ;; https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-payment-ireland-rate-tax-timing [1i/0c/p55]
europe blood pressure chart,2,3,0,https://www.myglobalhealth.online/ireland/en/tools/blood-pressure-chart,Ireland,en,tools,1.0,cross_market+wrong_locale,Czechia|Ireland,en,https://www.myglobalhealth.online/ireland/en/tools/blood-pressure-chart [2i/0c/p14] ;; https://www.myglobalhealth.online/czechia/en/tools/blood-pressure-chart [1i/0c/p1]
lekar online,2,3,0,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Czechia,cs,gp-consultation-online,27.0,no,Czechia,cs,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online [2i/0c/p27] ;; https://www.myglobalhealth.online/czechia/cs/blog/lekar-online-24-7-co-vyresi [1i/0c/p33]
indice obezitate calcul,2,3,0,https://www.myglobalhealth.online/romania/es/tools/bmi-calculator,Romania,es,tools,46.0,wrong_locale,Romania,es|ro,https://www.myglobalhealth.online/romania/es/tools/bmi-calculator [2i/0c/p78] ;; https://www.myglobalhealth.online/romania/ro/tools/bmi-calculator [1i/0c/p46]
romanian doctors,2,3,0,https://www.myglobalhealth.online/romania/en,Romania,en,market_home,5.5,wrong_locale,Romania,en|ro,https://www.myglobalhealth.online/romania/en [2i/0c/p6] ;; https://www.myglobalhealth.online/romania/ro [1i/0c/p61]
cat inseamna 500 calorii in kg,2,3,0,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator,Romania,ro,tools,10.5,cross_market+wrong_locale,Romania|Spain,ro,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator [2i/0c/p10] ;; https://www.myglobalhealth.online/spain/ro/tools/calorie-calculator [1i/0c/p12]
consulta médico online,2,3,0,https://www.myglobalhealth.online/portugal/pt,Portugal,pt,market_home,38.0,cross_market,Portugal|Spain,es|pt,https://www.myglobalhealth.online/portugal/pt [2i/0c/p61] ;; https://www.myglobalhealth.online/spain/es [1i/0c/p38]
indice imc,2,3,0,https://www.myglobalhealth.online/romania/ro/tools/bmi-calculator,Romania,ro,tools,55.0,cross_market,Romania|Spain,es|ro,https://www.myglobalhealth.online/romania/ro/tools/bmi-calculator [2i/0c/p55] ;; https://www.myglobalhealth.online/spain/es/tools/bmi-calculator [1i/0c/p72]
calculeaza indice de masa corporala,2,3,0,https://www.myglobalhealth.online/romania/es/tools/bmi-calculator,Romania,es,tools,37.0,wrong_locale,Romania,es|ro,https://www.myglobalhealth.online/romania/es/tools/bmi-calculator [2i/0c/p77] ;; https://www.myglobalhealth.online/romania/ro/tools/bmi-calculator [1i/0c/p37]
best online doctor,2,3,0,https://www.myglobalhealth.online/spain/es,Spain,es,market_home,25.0,cross_market+wrong_locale,Romania|Spain,en|es,https://www.myglobalhealth.online/spain/es [2i/0c/p50] ;; https://www.myglobalhealth.online/romania/en [1i/0c/p25]
medicos en linea,2,3,0,https://www.myglobalhealth.online/spain/es,Spain,es,market_home,10.0,cross_market+wrong_locale,Brazil|Spain,es,https://www.myglobalhealth.online/spain/es [2i/0c/p56] ;; https://www.myglobalhealth.online/brazil/es [1i/0c/p10]
blood work,2,3,0,https://www.myglobalhealth.online/ireland/en/blog/blood-tests-dublin-what-to-know,Ireland,en,blog,44.0,cross_market+wrong_locale,Ireland|Romania,en,https://www.myglobalhealth.online/ireland/en/blog/blood-tests-dublin-what-to-know [2i/0c/p52] ;; https://www.myglobalhealth.online/romania/en/lab-tests [1i/0c/p44]
mareo,2,3,0,https://www.myglobalhealth.online/spain/es/blog/tension-alta-sintomas-cuando-urgencias,Spain,es,blog,1.0,cross_market+wrong_locale,Romania|Spain,en|es,https://www.myglobalhealth.online/spain/es/blog/tension-alta-sintomas-cuando-urgencias [2i/0c/p4] ;; https://www.myglobalhealth.online/romania/en/blog/low-blood-pressure-why-it-happens-what-to-do-right-away-and-when-not-to-wait [1i/0c/p1]
medir imc,2,3,0,https://www.myglobalhealth.online/spain/es/tools/bmi-calculator,Spain,es,tools,56.0,cross_market,Portugal|Spain,es|pt,https://www.myglobalhealth.online/spain/es/tools/bmi-calculator [2i/0c/p56] ;; https://www.myglobalhealth.online/portugal/pt/tools/bmi-calculator [1i/0c/p58]
my medical,2,3,0,https://www.myglobalhealth.online/ireland/ro/health/international-students,Ireland,ro,health,29.0,cross_market+wrong_locale,Ireland|Spain,es|ro,https://www.myglobalhealth.online/ireland/ro/health/international-students [2i/0c/p54] ;; https://www.myglobalhealth.online/spain/es [1i/0c/p29]
médico psiquiatra online,3,3,0,https://www.myglobalhealth.online/spain/en/services/psicologo-online,Spain,en,services,81.0,wrong_locale,Spain,en|pt,https://www.myglobalhealth.online/spain/en/services/psicologo-online [1i/0c/p92] ;; https://www.myglobalhealth.online/spain/en/services/psiquiatra-online [1i/0c/p91] ;; https://www.myglobalhealth.online/spain/pt/services/psiquiatra-online [1i/0c/p81]
medico,3,3,0,https://www.myglobalhealth.online/ireland/es,Ireland,es,market_home,9.0,cross_market+wrong_locale,Ireland|Romania,es|pt,https://www.myglobalhealth.online/ireland/es [1i/0c/p9] ;; https://www.myglobalhealth.online/ireland/pt [1i/0c/p11] ;; https://www.myglobalhealth.online/romania/es [1i/0c/p12]
bmi scale,2,3,0,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,Czechia,cs,tools,48.0,cross_market,Czechia|Ireland,cs|en,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator [2i/0c/p60] ;; https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator [1i/0c/p48]
bone health assessment,2,3,0,https://www.myglobalhealth.online/ireland/en/tools/osteoporosis-risk-checker,Ireland,en,tools,75.0,cross_market+wrong_locale,Czechia|Ireland,en,https://www.myglobalhealth.online/ireland/en/tools/osteoporosis-risk-checker [2i/0c/p78] ;; https://www.myglobalhealth.online/czechia/en/tools/osteoporosis-risk-checker [1i/0c/p75]
global care,2,3,0,https://www.myglobalhealth.online/portugal/pt,Portugal,pt,market_home,2.0,no,Portugal,pt,https://www.myglobalhealth.online/portugal/pt [2i/0c/p2] ;; https://www.myglobalhealth.online [1i/0c/p3]
necesar caloric,2,3,0,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator,Romania,ro,tools,45.5,cross_market+wrong_locale,Romania|Spain,ro,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator [2i/0c/p46] ;; https://www.myglobalhealth.online/spain/ro/tools/calorie-calculator [1i/0c/p55]
marcar consultas médicas online,2,3,0,https://www.myglobalhealth.online/portugal/es/services/consulta-medica,Portugal,es,services,23.0,wrong_locale,Portugal,es|pt,https://www.myglobalhealth.online/portugal/es/services/consulta-medica [2i/0c/p80] ;; https://www.myglobalhealth.online/portugal/pt/services/consulta-medica [1i/0c/p23]
b12 and vitamin d test,2,3,0,https://www.myglobalhealth.online/ireland/en/lab-tests/vitamin-b12-test,Ireland,en,lab-tests,39.5,no,Ireland,en,https://www.myglobalhealth.online/ireland/en/lab-tests/vitamin-b12-test [2i/0c/p40] ;; https://www.myglobalhealth.online/ireland/en/lab-tests/vitamin-d-test [1i/0c/p53]
autodeclaração de doença,2,3,0,https://www.myglobalhealth.online/portugal/es/blog/autodeclaracion-enfermedad-portugal,Portugal,es,blog,10.0,wrong_locale,Portugal,en|es,https://www.myglobalhealth.online/portugal/es/blog/autodeclaracion-enfermedad-portugal [2i/0c/p36] ;; https://www.myglobalhealth.online/portugal/en/blog/autodeclaracao-de-doenca-ou-baixa-medica [1i/0c/p10]
eneschopenka online,3,3,0,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,Czechia,cs,blog,8.0,wrong_locale,Czechia,cs|en,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka [1i/0c/p11] ;; https://www.myglobalhealth.online/czechia/cs/services/neschopenka-online [1i/0c/p62] ;; https://www.myglobalhealth.online/czechia/en/blog/neschopenka-czech-sick-note-explained [1i/0c/p8]
enfermedad mano pie boca tratamiento,2,3,0,https://www.myglobalhealth.online/ireland/es/blog/enfermedad-mano-pie-boca-signos-y-tratamiento,Ireland,es,blog,76.0,cross_market+wrong_locale,Ireland|Portugal,es,https://www.myglobalhealth.online/ireland/es/blog/enfermedad-mano-pie-boca-signos-y-tratamiento [2i/0c/p78] ;; https://www.myglobalhealth.online/portugal/es/blog/enfermedad-mano-pie-boca-signos-y-tratamiento [1i/0c/p76]
pcp doctors near me,3,3,0,https://www.myglobalhealth.online/czechia/cs,Czechia,cs,market_home,13.0,wrong_locale,Czechia,cs|en,https://www.myglobalhealth.online/czechia/cs [1i/0c/p13] ;; https://www.myglobalhealth.online/czechia/cs/book [1i/0c/p15] ;; https://www.myglobalhealth.online/czechia/en/gp-consultation-online [1i/0c/p14]
online diagnostic services,2,3,0,https://www.myglobalhealth.online/ireland/en/lab-tests,Ireland,en,lab-tests,53.0,no,Ireland,en,https://www.myglobalhealth.online/ireland/en/lab-tests [2i/0c/p53] ;; https://www.myglobalhealth.online/ireland/en/lab-tests/general-health-test [1i/0c/p83]
online consultation of doctor,2,3,0,https://www.myglobalhealth.online/ireland/en/gp-consultation-online,Ireland,en,gp-consultation-online,27.5,no,Ireland,en,https://www.myglobalhealth.online/ireland/en/gp-consultation-online [2i/0c/p28] ;; https://www.myglobalhealth.online/ireland/en/book [1i/0c/p29]
doctors online,2,3,0,https://www.myglobalhealth.online/spain/es,Spain,es,market_home,5.0,cross_market+wrong_locale,Romania|Spain,en|es,https://www.myglobalhealth.online/spain/es [2i/0c/p16] ;; https://www.myglobalhealth.online/romania/en [1i/0c/p5]
niveles de la presión arterial normal,2,3,0,https://www.myglobalhealth.online/spain/es/tools/blood-pressure-chart,Spain,es,tools,71.0,cross_market+wrong_locale,Romania|Spain,es,https://www.myglobalhealth.online/spain/es/tools/blood-pressure-chart [2i/0c/p71] ;; https://www.myglobalhealth.online/romania/es/blog/presion-arterial-normal-guia-util-por-edad-sin-tablas-enganosas [1i/0c/p89]
online consultation for doctors,3,3,0,https://www.myglobalhealth.online/ireland/en/gp-consultation-online,Ireland,en,gp-consultation-online,19.0,cross_market+wrong_locale,Ireland|Spain,en,https://www.myglobalhealth.online/ireland/en/gp-consultation-online [1i/0c/p29] ;; https://www.myglobalhealth.online/ireland/en/see-a-specialist [1i/0c/p59] ;; https://www.myglobalhealth.online/spain/en [1i/0c/p19]
english speaking gp online,2,3,0,https://www.myglobalhealth.online,,,legacy_or_global,29.0,wrong_locale,Spain,en,https://www.myglobalhealth.online [2i/0c/p50] ;; https://www.myglobalhealth.online/spain/en [1i/0c/p29]
doctor,3,3,0,https://www.myglobalhealth.online/czechia/cs,Czechia,cs,market_home,2.0,cross_market,Czechia|Portugal,cs|pt,https://www.myglobalhealth.online/czechia/cs [1i/0c/p3] ;; https://www.myglobalhealth.online/portugal/pt [1i/0c/p2] ;; https://www.myglobalhealth.online/pt [1i/0c/p7]
online gp dublin,2,3,0,https://www.myglobalhealth.online/ireland/en/gp-consultation-online,Ireland,en,gp-consultation-online,59.0,no,Ireland,en,https://www.myglobalhealth.online/ireland/en/gp-consultation-online [2i/0c/p59] ;; https://www.myglobalhealth.online/ireland/en/see-a-specialist [1i/0c/p74]
online dr,3,3,0,https://www.myglobalhealth.online/czechia/cs,Czechia,cs,market_home,1.0,cross_market+wrong_locale,Czechia|Romania|Spain,cs|en|es,https://www.myglobalhealth.online/czechia/cs [1i/0c/p7] ;; https://www.myglobalhealth.online/romania/en [1i/0c/p9] ;; https://www.myglobalhealth.online/spain/es [1i/0c/p1]
doctor appointments,2,3,0,https://www.myglobalhealth.online/romania/en,Romania,en,market_home,18.0,cross_market+wrong_locale,Czechia|Romania,en,https://www.myglobalhealth.online/romania/en [2i/0c/p18] ;; https://www.myglobalhealth.online/czechia/en [1i/0c/p28]
online doctor ireland,2,3,0,https://www.myglobalhealth.online/ireland/en/gp-consultation-online,Ireland,en,gp-consultation-online,38.0,no,Ireland,en,https://www.myglobalhealth.online/ireland/en/gp-consultation-online [2i/0c/p80] ;; https://www.myglobalhealth.online/ireland/en/book [1i/0c/p38]
doctor appointment online,2,3,0,https://www.myglobalhealth.online/spain/es,Spain,es,market_home,19.0,wrong_locale,Spain,en|es,https://www.myglobalhealth.online/spain/es [2i/0c/p53] ;; https://www.myglobalhealth.online/spain/en [1i/0c/p19]
dermatólogos en línea,2,3,0,https://www.myglobalhealth.online/spain/es/blog/dermatologo-online-que-puede-resolver,Spain,es,blog,27.5,wrong_locale,Spain,en|es,https://www.myglobalhealth.online/spain/es/blog/dermatologo-online-que-puede-resolver [2i/0c/p28] ;; https://www.myglobalhealth.online/spain/en/services/dermatologia-especialista-online [1i/0c/p71]
online doctor cork,3,3,0,https://www.myglobalhealth.online/ireland/en,Ireland,en,market_home,58.0,no,Ireland,en,https://www.myglobalhealth.online/ireland/en [1i/0c/p88] ;; https://www.myglobalhealth.online/ireland/en/gp-consultation-online [1i/0c/p58] ;; https://www.myglobalhealth.online/ireland/en/see-a-specialist [1i/0c/p69]
online healthcare,2,3,0,https://www.myglobalhealth.online,,,legacy_or_global,13.0,wrong_locale,Romania,en,https://www.myglobalhealth.online [2i/0c/p24] ;; https://www.myglobalhealth.online/romania/en [1i/0c/p13]
claiming illness benefit,2,3,0,https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-ireland-how-to-claim,Ireland,en,blog,24.5,wrong_locale,Ireland,cs|en,https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-ireland-how-to-claim [2i/0c/p24] ;; https://www.myglobalhealth.online/ireland/cs/blog/illness-benefit-irsko-jak-zazadat [1i/0c/p51]
atestado médico online,2,3,0,https://www.myglobalhealth.online/portugal/pt/health/atestado-medico-online,Portugal,pt,health,1.0,no,Portugal,pt,https://www.myglobalhealth.online/portugal/pt/health/atestado-medico-online [2i/0c/p25] ;; https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao [1i/0c/p1]
atestado medico imt,2,3,0,https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao,Portugal,pt,services,24.0,no,Portugal,pt,https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao [2i/0c/p38] ;; https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao [1i/0c/p24]
trying to get in touch with him,2,2,0,https://www.myglobalhealth.online/ireland/en/doctors/dr-tiago-miguel-figueira,Ireland,en,doctors,2.0,cross_market,Ireland|Portugal,en|pt,https://www.myglobalhealth.online/ireland/en/doctors/dr-tiago-miguel-figueira [1i/0c/p2] ;; https://www.myglobalhealth.online/portugal/pt/doctors/dr-tiago-miguel-figueira [1i/0c/p4]
valores de tensión arterial normales,2,2,0,https://www.myglobalhealth.online/romania/es/blog/presion-arterial-normal-guia-util-por-edad-sin-tablas-enganosas,Romania,es,blog,30.0,cross_market+wrong_locale,Romania|Spain,es,https://www.myglobalhealth.online/romania/es/blog/presion-arterial-normal-guia-util-por-edad-sin-tablas-enganosas [1i/0c/p88] ;; https://www.myglobalhealth.online/spain/es/tools/blood-pressure-chart [1i/0c/p30]
tensão arterial normal adulto,2,2,0,https://www.myglobalhealth.online/portugal/pt/tools/blood-pressure-chart,Portugal,pt,tools,11.0,cross_market+wrong_locale,Portugal|Spain,pt,https://www.myglobalhealth.online/portugal/pt/tools/blood-pressure-chart [1i/0c/p11] ;; https://www.myglobalhealth.online/spain/pt/tools/blood-pressure-chart [1i/0c/p11]
tensão arterial normal mulher,2,2,0,https://www.myglobalhealth.online/brazil/pt/tools/blood-pressure-chart,Brazil,pt,tools,27.0,cross_market,Brazil|Portugal,pt,https://www.myglobalhealth.online/brazil/pt/tools/blood-pressure-chart [1i/0c/p53] ;; https://www.myglobalhealth.online/portugal/pt/tools/blood-pressure-chart [1i/0c/p27]
virus manos pies y boca tratamiento,2,2,0,https://www.myglobalhealth.online/ireland/es/blog/enfermedad-mano-pie-boca-signos-y-tratamiento,Ireland,es,blog,89.0,cross_market+wrong_locale,Ireland|Portugal,es,https://www.myglobalhealth.online/ireland/es/blog/enfermedad-mano-pie-boca-signos-y-tratamiento [1i/0c/p89] ;; https://www.myglobalhealth.online/portugal/es/blog/enfermedad-mano-pie-boca-signos-y-tratamiento [1i/0c/p90]
výpočet ovulace kalkulačka,2,2,0,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,Czechia,cs,tools,37.0,cross_market+wrong_locale,Czechia|Portugal,cs,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator [1i/0c/p37] ;; https://www.myglobalhealth.online/portugal/cs/tools/ovulation-calculator [1i/0c/p41]
calculadora tempo de gravidez,2,2,0,https://www.myglobalhealth.online/brazil/pt/tools/due-date-calculator,Brazil,pt,tools,44.0,cross_market,Brazil|Portugal,pt,https://www.myglobalhealth.online/brazil/pt/tools/due-date-calculator [1i/0c/p70] ;; https://www.myglobalhealth.online/portugal/pt/tools/due-date-calculator [1i/0c/p44]
claim sick benefit ireland,2,2,0,https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-ireland-how-to-claim,Ireland,en,blog,6.0,wrong_locale,Ireland,en|pt,https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-ireland-how-to-claim [1i/0c/p6] ;; https://www.myglobalhealth.online/ireland/pt/blog/illness-benefit-irlanda-como-requerer [1i/0c/p55]
clinic,2,2,0,https://www.myglobalhealth.online/portugal/pt,Portugal,pt,market_home,5.0,no,Portugal,pt,https://www.myglobalhealth.online/portugal/pt [1i/0c/p5] ;; https://www.myglobalhealth.online/pt [1i/0c/p5]
atestado medico para carta condução,2,2,0,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao,Portugal,pt,blog,34.0,no,Portugal,pt,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao [1i/0c/p34] ;; https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao [1i/0c/p63]
tensiune arteriala normala,2,2,0,https://www.myglobalhealth.online/romania/ro/blog/tensiune-arteriala-normala-varsta-adulti,Romania,ro,blog,52.0,cross_market+wrong_locale,Romania|Spain,ro,https://www.myglobalhealth.online/romania/ro/blog/tensiune-arteriala-normala-varsta-adulti [1i/0c/p52] ;; https://www.myglobalhealth.online/spain/ro/blog/tensiunea-arteriala-normala-tabel-util-dupa-varsta-si-sex-fara-mituri [1i/0c/p76]
tensiunea arteriala dupa varsta,2,2,0,https://www.myglobalhealth.online/romania/ro/blog/tensiune-arteriala-normala-varsta-adulti,Romania,ro,blog,29.0,cross_market+wrong_locale,Romania|Spain,ro,https://www.myglobalhealth.online/romania/ro/blog/tensiune-arteriala-normala-varsta-adulti [1i/0c/p29] ;; https://www.myglobalhealth.online/spain/ro/blog/tensiunea-arteriala-normala-tabel-util-dupa-varsta-si-sex-fara-mituri [1i/0c/p41]
calculator calorii mentinere,2,2,0,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator,Romania,ro,tools,33.0,cross_market+wrong_locale,Romania|Spain,ro,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator [1i/0c/p33] ;; https://www.myglobalhealth.online/spain/ro/tools/calorie-calculator [1i/0c/p39]
dia mmhg normal,2,2,0,https://www.myglobalhealth.online/spain/de/blog/normaler-blutdruck-tabelle-nach-alter-und-geschlecht-ohne-mythen,Spain,de,blog,24.0,wrong_locale,Spain,de|es,https://www.myglobalhealth.online/spain/de/blog/normaler-blutdruck-tabelle-nach-alter-und-geschlecht-ohne-mythen [1i/0c/p75] ;; https://www.myglobalhealth.online/spain/es/tools/blood-pressure-chart [1i/0c/p24]
doctor 24/7,2,2,0,https://www.myglobalhealth.online/czechia/cs,Czechia,cs,market_home,9.0,wrong_locale,Czechia,cs|en,https://www.myglobalhealth.online/czechia/cs [1i/0c/p13] ;; https://www.myglobalhealth.online/czechia/en/blog/online-doctor-czechia-what-it-solves [1i/0c/p9]
online health care,2,2,0,https://www.myglobalhealth.online/brazil/en,Brazil,en,market_home,14.0,cross_market+wrong_locale,Brazil|Romania,en,https://www.myglobalhealth.online/brazil/en [1i/0c/p14] ;; https://www.myglobalhealth.online/romania/en [1i/0c/p26]
online healthy ticket,2,2,0,https://www.myglobalhealth.online/brazil/en,Brazil,en,market_home,4.0,cross_market+wrong_locale,Brazil|Romania,en,https://www.myglobalhealth.online/brazil/en [1i/0c/p8] ;; https://www.myglobalhealth.online/romania/en [1i/0c/p4]
online medical assessment ireland,2,2,0,https://www.myglobalhealth.online/ireland/en/book,Ireland,en,book,12.0,no,Ireland,en,https://www.myglobalhealth.online/ireland/en/book [1i/0c/p37] ;; https://www.myglobalhealth.online/ireland/en/gp-consultation-online [1i/0c/p12]
online medical doctor consultation,2,2,0,https://www.myglobalhealth.online/ireland/en/see-a-specialist,Ireland,en,see-a-specialist,13.0,cross_market+wrong_locale,Ireland|Spain,en,https://www.myglobalhealth.online/ireland/en/see-a-specialist [1i/0c/p57] ;; https://www.myglobalhealth.online/spain/en [1i/0c/p13]
online doctor chat,2,2,0,https://www.myglobalhealth.online/romania/en,Romania,en,market_home,29.0,cross_market+wrong_locale,Romania|Spain,en|es,https://www.myglobalhealth.online/romania/en [1i/0c/p29] ;; https://www.myglobalhealth.online/spain/es [1i/0c/p74]
online doctors appointment,2,2,0,https://www.myglobalhealth.online/romania/en,Romania,en,market_home,22.0,cross_market+wrong_locale,Romania|Spain,en|es,https://www.myglobalhealth.online/romania/en [1i/0c/p22] ;; https://www.myglobalhealth.online/spain/es [1i/0c/p38]
online doctors ireland,2,2,0,https://www.myglobalhealth.online/ireland/en/doctors,Ireland,en,doctors,22.0,no,Ireland,en,https://www.myglobalhealth.online/ireland/en/doctors [1i/0c/p22] ;; https://www.myglobalhealth.online/ireland/en/gp-consultation-online [1i/0c/p60]
doctor helpline,2,2,0,https://www.myglobalhealth.online/brazil/en,Brazil,en,market_home,28.0,wrong_locale,Brazil,en,https://www.myglobalhealth.online/brazil/en [1i/0c/p28] ;; https://www.myglobalhealth.online/brazil/en/contact [1i/0c/p62]
doporuč,2,2,0,https://www.myglobalhealth.online/czechia/cs/services/kozni-konzultace-praha,Czechia,cs,services,6.0,no,Czechia,cs,https://www.myglobalhealth.online/czechia/cs/services/kozni-konzultace-praha [1i/0c/p6] ;; https://www.myglobalhealth.online/czechia/cs/services/obnoveni-lecby [1i/0c/p7]
necesarul zilnic de calorii,2,2,0,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator,Romania,ro,tools,30.0,cross_market+wrong_locale,Romania|Spain,ro,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator [1i/0c/p30] ;; https://www.myglobalhealth.online/spain/ro/tools/calorie-calculator [1i/0c/p34]
neschopenka online,2,2,0,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,Czechia,cs,blog,4.0,wrong_locale,Czechia,cs|en,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka [1i/0c/p12] ;; https://www.myglobalhealth.online/czechia/en/blog/neschopenka-czech-sick-note-explained [1i/0c/p4]
neschopnost,2,2,0,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,Czechia,cs,blog,35.0,wrong_locale,Czechia,cs|en,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka [1i/0c/p35] ;; https://www.myglobalhealth.online/czechia/en/blog/neschopenka-czech-sick-note-explained [1i/0c/p44]
normalni tlak u zeny,2,2,0,https://www.myglobalhealth.online/czechia/cs/tools/blood-pressure-chart,Czechia,cs,tools,32.0,cross_market+wrong_locale,Czechia|Romania,cs,https://www.myglobalhealth.online/czechia/cs/tools/blood-pressure-chart [1i/0c/p32] ;; https://www.myglobalhealth.online/romania/cs/blog/normalni-krevni-tlak-podle-veku-uzitecny-pruvodce-bez-zavadejicich-tabulek [1i/0c/p43]
online neurology consultation,2,2,0,https://www.myglobalhealth.online/ireland/en/book,Ireland,en,book,1.0,no,Ireland,en,https://www.myglobalhealth.online/ireland/en/book [1i/0c/p4] ;; https://www.myglobalhealth.online/ireland/en/see-a-specialist [1i/0c/p1]
online-beratung bei haarausfall,2,2,0,https://www.myglobalhealth.online/czechia/de/services/vypadavani-vlasu-online,Czechia,de,services,12.0,cross_market+wrong_locale,Czechia|Romania,de,https://www.myglobalhealth.online/czechia/de/services/vypadavani-vlasu-online [1i/0c/p44] ;; https://www.myglobalhealth.online/romania/de/services/caderea-parului-online [1i/0c/p12]
ovulacna kalkulačka,2,2,0,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,Czechia,cs,tools,34.0,cross_market+wrong_locale,Czechia|Portugal,cs,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator [1i/0c/p34] ;; https://www.myglobalhealth.online/portugal/cs/tools/ovulation-calculator [1i/0c/p47]
portugal,2,2,0,https://www.myglobalhealth.online/portugal/de/blog/krankmeldung-selbsterklaerung-portugal,Portugal,de,blog,4.0,wrong_locale,Portugal,de|pt,https://www.myglobalhealth.online/portugal/de/blog/krankmeldung-selbsterklaerung-portugal [1i/0c/p6] ;; https://www.myglobalhealth.online/portugal/pt/blog/baixa-medica-quanto-se-recebe-como-calcular [1i/0c/p4]
consultas medicas,2,2,0,https://www.myglobalhealth.online/portugal/es/services/consulta-medica,Portugal,es,services,41.0,cross_market+wrong_locale,Portugal|Spain,es,https://www.myglobalhealth.online/portugal/es/services/consulta-medica [1i/0c/p65] ;; https://www.myglobalhealth.online/spain/es [1i/0c/p41]
consultas online,2,2,0,https://www.myglobalhealth.online/portugal/es/services/consulta-medica,Portugal,es,services,62.0,wrong_locale,Portugal,es|pt,https://www.myglobalhealth.online/portugal/es/services/consulta-medica [1i/0c/p79] ;; https://www.myglobalhealth.online/portugal/pt [1i/0c/p62]
derma dr moreno montañez,2,2,0,https://www.myglobalhealth.online/spain/en/services/dermatologia-especialista-online,Spain,en,services,7.0,wrong_locale,Spain,en|es,https://www.myglobalhealth.online/spain/en/services/dermatologia-especialista-online [1i/0c/p7] ;; https://www.myglobalhealth.online/spain/es/blog/dermatologo-online-que-puede-resolver [1i/0c/p14]
