rule_order_index,source,destination,permanent,statusCode,has,missing,locale
162,/:locale(cs|es|pt|ro)/product-page/amh-test-anti-m%C3%BCllerian-hormone,/ireland/:locale/lab-tests/amh-fertility-test,True,,,,
163,/product-page/gut-microbiome-test,/ireland/en/lab-tests/gut-microbiome-test,True,,,,
164,/:locale(cs|es|pt|ro)/product-page/gut-microbiome-test,/ireland/:locale/lab-tests/gut-microbiome-test,True,,,,
165,/product-page/coeliac-disease-test,/ireland/en/lab-tests/genetic-coeliac-disease-test,True,,,,
166,/:locale(cs|es|pt|ro)/product-page/coeliac-disease-test,/ireland/:locale/lab-tests/genetic-coeliac-disease-test,True,,,,
167,/product-page/osentia-fracture-risk-assessment-test,/ireland/en/lab-tests/fracture-risk-assessment-test,True,,,,
168,/:locale(cs|es|pt|ro)/product-page/osentia-fracture-risk-assessment-test,/ireland/:locale/lab-tests/fracture-risk-assessment-test,True,,,,
169,/product-page/general-health-blood-hometest,/ireland/en/lab-tests/general-health-test,True,,,,
170,/:locale(cs|es|pt|ro)/product-page/general-health-blood-hometest,/ireland/:locale/lab-tests/general-health-test,True,,,,
171,/product-page/nutrition-and-lifestyle-home-dna-test,/ireland/en/lab-tests/nutrition-lifestyle-dna-test,True,,,,
172,/:locale(cs|es|pt|ro)/product-page/nutrition-and-lifestyle-home-dna-test,/ireland/:locale/lab-tests/nutrition-lifestyle-dna-test,True,,,,
173,/product-page/haemochromatosis-test,/ireland/en/lab-tests/genetic-haemochromatosis-test,True,,,,
174,/:locale(cs|es|pt|ro)/product-page/haemochromatosis-test,/ireland/:locale/lab-tests/genetic-haemochromatosis-test,True,,,,
175,/product-page/vitamin-d-blood-test,/ireland/en/lab-tests/vitamin-d-test,True,,,,
176,/:locale(cs|es|pt|ro)/product-page/vitamin-d-blood-test,/ireland/:locale/lab-tests/vitamin-d-test,True,,,,
177,/product-page/vitamin-b12-blood-test,/ireland/en/lab-tests/vitamin-b12-test,True,,,,
178,/:locale(cs|es|pt|ro)/product-page/vitamin-b12-blood-test,/ireland/:locale/lab-tests/vitamin-b12-test,True,,,,
179,/product-page/:slug((?!(?:beauty-focus-multibeauty|telemedicine-kit)/?$)[^/]+),/ireland/en/lab-tests,True,,,,
180,/:locale(cs|es|pt|ro)/product-page/:slug((?!(?:beauty-focus-multibeauty|telemedicine-kit)/?$)[^/]+),/ireland/:locale/lab-tests,True,,,,
181,/home-health-tests/heart-health-home-test,/ireland/en/lab-tests/heart-health-cholesterol-test,True,,,,
182,/:locale(cs|es|pt|ro)/home-health-tests/heart-health-home-test,/ireland/:locale/lab-tests/heart-health-cholesterol-test,True,,,,
183,/home-health-tests-1/heart-health-home-test,/ireland/en/lab-tests/heart-health-cholesterol-test,True,,,,
