"query","clicks","impressions","ctr","position","start_date","end_date"
"gastroenterologista","0","4","0","7","2026-05-31","2026-08-28"
"general practitioner","0","1","0","13","2026-05-31","2026-08-28"
"general practitioner doctors near me","0","2","0","26","2026-05-31","2026-08-28"
"general practitioner near me","0","1","0","12","2026-05-31","2026-08-28"
"general practitioners near me","0","1","0","13","2026-05-31","2026-08-28"
"gl health","0","2","0","4.5","2026-05-31","2026-08-28"
"glibal health","0","1","0","1","2026-05-31","2026-08-28"
"global","0","8","0","8.375","2026-05-31","2026-08-28"
"global care","0","3","0","1.6666666666666665","2026-05-31","2026-08-28"
"global clinic","0","5","0","7.4","2026-05-31","2026-08-28"
